src_file,window_file,start_s,dur_s,kick_in_window_s,kick_frame
data/clips/penalties_720p/2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s.mp4,data/clips/kick_windows_720p_v2/2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s_KICK.mp4,8.620,4.000,1.500,253
data/clips/penalties_720p/2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s.mp4,data/clips/kick_windows_720p_v2/2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s_KICK.mp4,9.300,4.000,1.500,270
data/clips/penalties_720p/2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s.mp4,data/clips/kick_windows_720p_v2/2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s_KICK.mp4,8.780,4.000,1.500,257
data/clips/penalties_720p/2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s.mp4,data/clips/kick_windows_720p_v2/2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s_KICK.mp4,9.220,4.000,1.500,268
data/clips/penalties_720p/2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s.mp4,data/clips/kick_windows_720p_v2/2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s_KICK.mp4,8.940,4.000,1.500,261
data/clips/penalties_720p/2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s.mp4,data/clips/kick_windows_720p_v2/2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s_KICK.mp4,9.220,4.000,1.500,268
data/clips/penalties_720p/2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s.mp4,data/clips/kick_windows_720p_v2/2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s_KICK.mp4,9.340,4.000,1.500,271
data/clips/penalties_720p/2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s.mp4,data/clips/kick_windows_720p_v2/2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s_KICK.mp4,8.820,4.000,1.500,258
data/clips/penalties_720p/2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s.mp4,data/clips/kick_windows_720p_v2/2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s_KICK.mp4,8.820,4.000,1.500,258
data/clips/penalties_720p/2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s.mp4,data/clips/kick_windows_720p_v2/2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s_KICK.mp4,9.020,4.000,1.500,263
data/clips/penalties_720p/2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s.mp4,data/clips/kick_windows_720p_v2/2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s_KICK.mp4,8.980,4.000,1.500,262
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s_KICK.mp4,9.420,4.000,1.500,273
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s_KICK.mp4,8.860,4.000,1.500,259
data/clips/penalties_720p/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s_KICK.mp4,9.220,4.000,1.500,268
data/clips/penalties_720p/2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s.mp4,data/clips/kick_windows_720p_v2/2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s_KICK.mp4,9.260,4.000,1.500,269
data/clips/penalties_720p/2015-02-21_-_17-30_Paderborn_0_-_6_Bayern_Munich_H2_001074s.mp4,data/clips/kick_windows_720p_v2/2015-02-21_-_17-30_Paderborn_0_-_6_Bayern_Munich_H2_001074s_KICK.mp4,4.100,4.000,1.500,140
data/clips/penalties_720p/2015-04-25_-_16-30_Dortmund_2_-_0_Eintracht_Frankfurt_H1_001435s.mp4,data/clips/kick_windows_720p_v2/2015-04-25_-_16-30_Dortmund_2_-_0_Eintracht_Frankfurt_H1_001435s_KICK.mp4,4.020,4.000,1.500,138
data/clips/penalties_720p/2015-04-28_-_21-00_Barcelona_6_-_0_Getafe_H1_000524s.mp4,data/clips/kick_windows_720p_v2/2015-04-28_-_21-00_Barcelona_6_-_0_Getafe_H1_000524s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H1_001953s.mp4,data/clips/kick_windows_720p_v2/2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H1_001953s_KICK.mp4,4.140,4.000,1.500,141
data/clips/penalties_720p/2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H2_001266s.mp4,data/clips/kick_windows_720p_v2/2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H2_001266s_KICK.mp4,4.500,4.000,1.500,150
data/clips/penalties_720p/2015-05-02_-_17-00_Cordoba_0_-_8_Barcelona_H2_002355s.mp4,data/clips/kick_windows_720p_v2/2015-05-02_-_17-00_Cordoba_0_-_8_Barcelona_H2_002355s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2015-05-02_-_21-00_Sevilla_2_-_3_Real_Madrid_H1_002783s.mp4,data/clips/kick_windows_720p_v2/2015-05-02_-_21-00_Sevilla_2_-_3_Real_Madrid_H1_002783s_KICK.mp4,3.700,4.000,1.500,130
data/clips/penalties_720p/2015-05-03_-_21-45_Napoli_3_-_0_AC_Milan_H1_000179s.mp4,data/clips/kick_windows_720p_v2/2015-05-03_-_21-45_Napoli_3_-_0_AC_Milan_H1_000179s_KICK.mp4,3.940,4.000,1.500,136
data/clips/penalties_720p/2015-05-09_-_21-00_Real_Madrid_2_-_2_Valencia_H1_002768s.mp4,data/clips/kick_windows_720p_v2/2015-05-09_-_21-00_Real_Madrid_2_-_2_Valencia_H1_002768s_KICK.mp4,3.540,4.000,1.500,126
data/clips/penalties_720p/2015-05-10_-_21-45_Lazio_1_-_2_Inter_H2_001077s.mp4,data/clips/kick_windows_720p_v2/2015-05-10_-_21-45_Lazio_1_-_2_Inter_H2_001077s_KICK.mp4,4.020,4.000,1.500,138
data/clips/penalties_720p/2015-05-16_-_19-00_Inter_1_-_2_Juventus_H1_002513s.mp4,data/clips/kick_windows_720p_v2/2015-05-16_-_19-00_Inter_1_-_2_Juventus_H1_002513s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2015-05-23_-_21-30_Real_Madrid_7_-_3_Getafe_H1_002034s.mp4,data/clips/kick_windows_720p_v2/2015-05-23_-_21-30_Real_Madrid_7_-_3_Getafe_H1_002034s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2015-08-22_-_16-30_Hoffenheim_1_-_2_Bayern_Munich_H2_001696s.mp4,data/clips/kick_windows_720p_v2/2015-08-22_-_16-30_Hoffenheim_1_-_2_Bayern_Munich_H2_001696s_KICK.mp4,3.980,4.000,1.500,137
data/clips/penalties_720p/2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_000870s.mp4,data/clips/kick_windows_720p_v2/2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_000870s_KICK.mp4,3.780,4.000,1.500,132
data/clips/penalties_720p/2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_001507s.mp4,data/clips/kick_windows_720p_v2/2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_001507s_KICK.mp4,3.820,4.000,1.500,133
data/clips/penalties_720p/2015-08-29_-_23-30_Real_Madrid_5_-_0_Betis_H2_000931s.mp4,data/clips/kick_windows_720p_v2/2015-08-29_-_23-30_Real_Madrid_5_-_0_Betis_H2_000931s_KICK.mp4,3.740,4.000,1.500,131
data/clips/penalties_720p/2015-09-12_-_16-30_Bayern_Munich_2_-_1_FC_Augsburg_H2_002641s.mp4,data/clips/kick_windows_720p_v2/2015-09-12_-_16-30_Bayern_Munich_2_-_1_FC_Augsburg_H2_002641s_KICK.mp4,3.940,4.000,1.500,136
data/clips/penalties_720p/2015-09-12_-_17-00_Espanyol_0_-_6_Real_Madrid_H1_000994s.mp4,data/clips/kick_windows_720p_v2/2015-09-12_-_17-00_Espanyol_0_-_6_Real_Madrid_H1_000994s_KICK.mp4,3.500,4.000,1.500,125
data/clips/penalties_720p/2015-09-20_-_16-00_Genoa_0_-_2_Juventus_H2_000875s.mp4,data/clips/kick_windows_720p_v2/2015-09-20_-_16-00_Genoa_0_-_2_Juventus_H2_000875s_KICK.mp4,3.780,4.000,1.500,132
data/clips/penalties_720p/2015-09-20_-_18-30_Dortmund_3_-_0_Bayer_Leverkusen_H2_001691s.mp4,data/clips/kick_windows_720p_v2/2015-09-20_-_18-30_Dortmund_3_-_0_Bayer_Leverkusen_H2_001691s_KICK.mp4,4.260,4.000,1.500,144
data/clips/penalties_720p/2015-09-26_-_17-00_Barcelona_2_-_1_Las_Palmas_H2_001257s.mp4,data/clips/kick_windows_720p_v2/2015-09-26_-_17-00_Barcelona_2_-_1_Las_Palmas_H2_001257s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2015-09-27_-_21-45_Inter_1_-_4_Fiorentina_H1_000202s.mp4,data/clips/kick_windows_720p_v2/2015-09-27_-_21-45_Inter_1_-_4_Fiorentina_H1_000202s_KICK.mp4,4.140,4.000,1.500,141
data/clips/penalties_720p/2015-10-04_-_18-30_Bayern_Munich_5_-_1_Dortmund_H1_002040s.mp4,data/clips/kick_windows_720p_v2/2015-10-04_-_18-30_Bayern_Munich_5_-_1_Dortmund_H1_002040s_KICK.mp4,3.940,4.000,1.500,136
data/clips/penalties_720p/2015-10-04_-_21-30_Atl_Madrid_1_-_1_Real_Madrid_H1_001306s.mp4,data/clips/kick_windows_720p_v2/2015-10-04_-_21-30_Atl_Madrid_1_-_1_Real_Madrid_H1_001306s_KICK.mp4,3.620,4.000,1.500,128
data/clips/penalties_720p/2015-10-24_-_16-30_Bayern_Munich_4_-_0_FC_Koln_H2_001905s.mp4,data/clips/kick_windows_720p_v2/2015-10-24_-_16-30_Bayern_Munich_4_-_0_FC_Koln_H2_001905s_KICK.mp4,3.700,4.000,1.500,130
data/clips/penalties_720p/2015-11-08_-_18-00_Barcelona_3_-_0_Villarreal_H2_001482s.mp4,data/clips/kick_windows_720p_v2/2015-11-08_-_18-00_Barcelona_3_-_0_Villarreal_H2_001482s_KICK.mp4,3.660,4.000,1.500,129
data/clips/penalties_720p/2015-12-20_-_18-00_Real_Madrid_1_-_0_Rayo_Vallecano_H1_001763s.mp4,data/clips/kick_windows_720p_v2/2015-12-20_-_18-00_Real_Madrid_1_-_0_Rayo_Vallecano_H1_001763s_KICK.mp4,3.780,4.000,1.500,132
data/clips/penalties_720p/2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_001389s.mp4,data/clips/kick_windows_720p_v2/2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_001389s_KICK.mp4,4.420,4.000,1.500,148
data/clips/penalties_720p/2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_002502s.mp4,data/clips/kick_windows_720p_v2/2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_002502s_KICK.mp4,4.180,4.000,1.500,142
data/clips/penalties_720p/2016-01-03_-_22-30_Valencia_2_-_2_Real_Madrid_H1_002709s.mp4,data/clips/kick_windows_720p_v2/2016-01-03_-_22-30_Valencia_2_-_2_Real_Madrid_H1_002709s_KICK.mp4,4.100,4.000,1.500,140
data/clips/penalties_720p/2016-01-31_-_22-30_Real_Madrid_6_-_0_Espanyol_H1_000667s.mp4,data/clips/kick_windows_720p_v2/2016-01-31_-_22-30_Real_Madrid_6_-_0_Espanyol_H1_000667s_KICK.mp4,4.060,4.000,1.500,139
data/clips/penalties_720p/2016-02-21_-_18-00_Malaga_1_-_1_Real_Madrid_H1_002120s.mp4,data/clips/kick_windows_720p_v2/2016-02-21_-_18-00_Malaga_1_-_1_Real_Madrid_H1_002120s_KICK.mp4,3.620,4.000,1.500,128
data/clips/penalties_720p/2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H1_001593s.mp4,data/clips/kick_windows_720p_v2/2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H1_001593s_KICK.mp4,4.460,4.000,1.500,149
data/clips/penalties_720p/2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H2_000744s.mp4,data/clips/kick_windows_720p_v2/2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H2_000744s_KICK.mp4,4.180,4.000,1.500,142
data/clips/penalties_720p/2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001145s.mp4,data/clips/kick_windows_720p_v2/2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001145s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001795s.mp4,data/clips/kick_windows_720p_v2/2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001795s_KICK.mp4,4.380,4.000,1.500,147
data/clips/penalties_720p/2016-08-28_-_21-45_Cagliari_2_-_2_AS_Roma_H1_000335s.mp4,data/clips/kick_windows_720p_v2/2016-08-28_-_21-45_Cagliari_2_-_2_AS_Roma_H1_000335s_KICK.mp4,4.458,4.000,1.500,108
data/clips/penalties_720p/2016-09-17_-_14-00_Leganes_1_-_5_Barcelona_H2_000566s.mp4,data/clips/kick_windows_720p_v2/2016-09-17_-_14-00_Leganes_1_-_5_Barcelona_H2_000566s_KICK.mp4,3.820,4.000,1.500,133
data/clips/penalties_720p/2016-09-20_-_21-45_AC_Milan_2_-_0_Lazio_H2_001688s.mp4,data/clips/kick_windows_720p_v2/2016-09-20_-_21-45_AC_Milan_2_-_0_Lazio_H2_001688s_KICK.mp4,4.066,4.000,1.500,102
data/clips/penalties_720p/2016-09-21_-_21-00_Real_Madrid_1_-_1_Villarreal_H1_002717s.mp4,data/clips/kick_windows_720p_v2/2016-09-21_-_21-00_Real_Madrid_1_-_1_Villarreal_H1_002717s_KICK.mp4,4.380,4.000,1.500,147
data/clips/penalties_720p/2016-09-21_-_21-45_AS_Roma_4_-_0_Crotone_H2_000870s.mp4,data/clips/kick_windows_720p_v2/2016-09-21_-_21-45_AS_Roma_4_-_0_Crotone_H2_000870s_KICK.mp4,4.669,4.000,1.500,101
data/clips/penalties_720p/2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000420s.mp4,data/clips/kick_windows_720p_v2/2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000420s_KICK.mp4,4.415,4.000,1.500,109
data/clips/penalties_720p/2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000579s.mp4,data/clips/kick_windows_720p_v2/2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000579s_KICK.mp4,4.301,4.000,1.500,105
data/clips/penalties_720p/2016-09-25_-_21-45_Fiorentina_0_-_0_AC_Milan_H1_001366s.mp4,data/clips/kick_windows_720p_v2/2016-09-25_-_21-45_Fiorentina_0_-_0_AC_Milan_H1_001366s_KICK.mp4,3.660,4.000,1.500,129
data/clips/penalties_720p/2016-10-02_-_19-00_AC_Milan_4_-_3_Sassuolo_H2_001420s.mp4,data/clips/kick_windows_720p_v2/2016-10-02_-_19-00_AC_Milan_4_-_3_Sassuolo_H2_001420s_KICK.mp4,3.660,4.000,1.500,129
data/clips/penalties_720p/2016-10-02_-_21-45_Celta_Vigo_4_-_3_Barcelona_H2_001126s.mp4,data/clips/kick_windows_720p_v2/2016-10-02_-_21-45_Celta_Vigo_4_-_3_Barcelona_H2_001126s_KICK.mp4,4.460,4.000,1.500,149
data/clips/penalties_720p/2016-10-22_-_17-15_Valencia_2_-_3_Barcelona_H2_002902s.mp4,data/clips/kick_windows_720p_v2/2016-10-22_-_17-15_Valencia_2_-_3_Barcelona_H2_002902s_KICK.mp4,3.820,4.000,1.500,133
data/clips/penalties_720p/2016-10-26_-_21-45_Sassuolo_1_-_3_AS_Roma_H2_001827s.mp4,data/clips/kick_windows_720p_v2/2016-10-26_-_21-45_Sassuolo_1_-_3_AS_Roma_H2_001827s_KICK.mp4,4.260,4.000,1.500,144
data/clips/penalties_720p/2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H1_000975s.mp4,data/clips/kick_windows_720p_v2/2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H1_000975s_KICK.mp4,3.620,4.000,1.500,128
data/clips/penalties_720p/2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H2_002005s.mp4,data/clips/kick_windows_720p_v2/2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H2_002005s_KICK.mp4,4.100,4.000,1.500,140
data/clips/penalties_720p/2016-11-19_-_22-45_Atl_Madrid_0_-_3_Real_Madrid_H2_001537s.mp4,data/clips/kick_windows_720p_v2/2016-11-19_-_22-45_Atl_Madrid_0_-_3_Real_Madrid_H2_001537s_KICK.mp4,3.780,4.000,1.500,132
data/clips/penalties_720p/2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H1_002375s.mp4,data/clips/kick_windows_720p_v2/2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H1_002375s_KICK.mp4,3.580,4.000,1.500,127
data/clips/penalties_720p/2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H2_002694s.mp4,data/clips/kick_windows_720p_v2/2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H2_002694s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H1_000249s.mp4,data/clips/kick_windows_720p_v2/2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H1_000249s_KICK.mp4,4.100,4.000,1.500,140
data/clips/penalties_720p/2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H2_001948s.mp4,data/clips/kick_windows_720p_v2/2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H2_001948s_KICK.mp4,4.220,4.000,1.500,143
data/clips/penalties_720p/2016-11-27_-_22-45_AS_Roma_3_-_2_Pescara_H2_001501s.mp4,data/clips/kick_windows_720p_v2/2016-11-27_-_22-45_AS_Roma_3_-_2_Pescara_H2_001501s_KICK.mp4,4.220,4.000,1.500,143
data/clips/penalties_720p/2016-12-04_-_14-30_AC_Milan_2_-_1_Crotone_H2_000460s.mp4,data/clips/kick_windows_720p_v2/2016-12-04_-_14-30_AC_Milan_2_-_1_Crotone_H2_000460s_KICK.mp4,4.260,4.000,1.500,144
data/clips/penalties_720p/2017-01-15_-_17-00_Napoli_3_-_1_Pescara_H2_002922s.mp4,data/clips/kick_windows_720p_v2/2017-01-15_-_17-00_Napoli_3_-_1_Pescara_H2_002922s_KICK.mp4,3.980,4.000,1.500,137
data/clips/penalties_720p/2017-01-15_-_17-00_Udinese_0_-_1_AS_Roma_H1_001048s.mp4,data/clips/kick_windows_720p_v2/2017-01-15_-_17-00_Udinese_0_-_1_AS_Roma_H1_001048s_KICK.mp4,4.300,4.000,1.500,145
data/clips/penalties_720p/2017-01-15_-_22-45_Sevilla_2_-_1_Real_Madrid_H2_001293s.mp4,data/clips/kick_windows_720p_v2/2017-01-15_-_22-45_Sevilla_2_-_1_Real_Madrid_H2_001293s_KICK.mp4,4.100,4.000,1.500,140
data/clips/penalties_720p/2017-02-04_-_22-45_Bologna_1_-_7_Napoli_H1_001504s.mp4,data/clips/kick_windows_720p_v2/2017-02-04_-_22-45_Bologna_1_-_7_Napoli_H1_001504s_KICK.mp4,4.020,4.000,1.500,138
data/clips/penalties_720p/2017-02-12_-_14-30_Crotone_0_-_2_AS_Roma_H1_001003s.mp4,data/clips/kick_windows_720p_v2/2017-02-12_-_14-30_Crotone_0_-_2_AS_Roma_H1_001003s_KICK.mp4,4.340,4.000,1.500,146
data/clips/penalties_720p/2017-02-19_-_22-45_Barcelona_2_-_1_Leganes_H2_002644s.mp4,data/clips/kick_windows_720p_v2/2017-02-19_-_22-45_Barcelona_2_-_1_Leganes_H2_002644s_KICK.mp4,3.700,4.000,1.500,130
data/clips/penalties_720p/2017-02-26_-_22-45_Inter_1_-_3_AS_Roma_H2_002396s.mp4,data/clips/kick_windows_720p_v2/2017-02-26_-_22-45_Inter_1_-_3_AS_Roma_H2_002396s_KICK.mp4,3.820,4.000,1.500,133
data/clips/penalties_720p/2017-02-26_-_22-45_Villarreal_2_-_3_Real_Madrid_H2_001721s.mp4,data/clips/kick_windows_720p_v2/2017-02-26_-_22-45_Villarreal_2_-_3_Real_Madrid_H2_001721s_KICK.mp4,3.660,4.000,1.500,129
data/clips/penalties_720p/2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_000619s.mp4,data/clips/kick_windows_720p_v2/2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_000619s_KICK.mp4,3.940,4.000,1.500,136
data/clips/penalties_720p/2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_002456s.mp4,data/clips/kick_windows_720p_v2/2017-03-01_-_23-30_Real_Madrid_3_-_3_Las_Palmas_H2_002456s_KICK.mp4,4.260,4.000,1.500,144
data/clips/penalties_720p/2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H1_001853s.mp4,data/clips/kick_windows_720p_v2/2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H1_001853s_KICK.mp4,3.860,4.000,1.500,134
data/clips/penalties_720p/2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H2_001207s.mp4,data/clips/kick_windows_720p_v2/2017-03-12_-_17-00_Napoli_3_-_0_Crotone_H2_001207s_KICK.mp4,3.980,4.000,1.500,137
data/clips/penalties_720p/2017-03-19_-_22-45_Barcelona_4_-_2_Valencia_H1_002669s.mp4,data/clips/kick_windows_720p_v2/2017-03-19_-_22-45_Barcelona_4_-_2_Valencia_H1_002669s_KICK.mp4,3.700,4.000,1.500,130
data/clips/penalties_720p/2017-04-26_-_20-30_Barcelona_7_-_1_Osasuna_H2_001300s.mp4,data/clips/kick_windows_720p_v2/2017-04-26_-_20-30_Barcelona_7_-_1_Osasuna_H2_001300s_KICK.mp4,4.260,4.000,1.500,144
data/clips/penalties_720p/2017-04-29_-_17-15_Real_Madrid_2_-_1_Valencia_H2_000663s.mp4,data/clips/kick_windows_720p_v2/2017-04-29_-_17-15_Real_Madrid_2_-_1_Valencia_H2_000663s_KICK.mp4,4.420,4.000,1.500,148
data/clips/penalties_720p/2017-04-30_-_13-30_AS_Roma_1_-_3_Lazio_H1_002693s.mp4,data/clips/kick_windows_720p_v2/2017-04-30_-_13-30_AS_Roma_1_-_3_Lazio_H1_002693s_KICK.mp4,4.460,4.000,1.500,149
data/clips/penalties_720p/2017-05-07_-_21-45_AC_Milan_1_-_4_AS_Roma_H2_002478s.mp4,data/clips/kick_windows_720p_v2/2017-05-07_-_21-45_AC_Milan_1_-_4_AS_Roma_H2_002478s_KICK.mp4,3.740,4.000,1.500,131
data/clips/penalties_720p/2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001476s.mp4,data/clips/kick_windows_720p_v2/2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001476s_KICK.mp4,3.980,4.000,1.500,137
data/clips/penalties_720p/2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001786s.mp4,data/clips/kick_windows_720p_v2/2017-05-21_-_21-00_Barcelona_4_-_2_Eibar_H2_001786s_KICK.mp4,8.460,4.000,1.500,249
